"fecha","Cerrillos","Cerro Navia","Conchalí","El Bosque","Estación Central","Huechuraba","Independencia","La Cisterna","La Florida","La Granja","La Pintana","La Reina","Las Condes","Lo Barnechea","Lo Espejo","Lo Prado","Macul","Maipú","Ñuñoa","Pedro Aguirre Cerda","Peñalolén","Providencia","Pudahuel","Puente Alto","Quilicura","Quinta Normal","Recoleta","Renca","San Joaquín","San Miguel","San Ramón","Santiago","Vitacura"
2010-01-01,10.9188061928683,10.6989609724163,12.1887028596177,13.6970635131818,11.6177190003614,12.6923757061274,11.9765001927727,13.3237034764337,14.6205750541387,13.659290734679,14.3634454698921,13.7458811124003,12.8800600654065,14.2384827642783,11.949797854347,10.8473040227033,12.7924766360175,10.9799943733497,12.7452821932989,11.9958086006939,13.287174477403,12.3716402477889,10.5675550992159,16.3835563720808,13.8866077398576,11.4757947295679,12.1523532013259,11.7590784977068,11.9761027615959,11.9618411979159,13.5968016122793,11.8682193358175,12.8609759624615
2010-01-02,14.9235464343127,14.5265227086258,15.3515326917552,16.2138730958363,17.1279023575762,15.8600474362011,14.496757323135,15.8320092656285,13.4603378321111,14.5412864197621,14.3215366227185,16.500810795692,15.795357103063,17.1728280500651,15.2963282874422,15.1461024208356,14.54131781626,14.9498470809368,15.8715082803626,16.980174231369,15.4221316541785,15.3805149078502,14.4672000133847,13.021934377093,17.6208132869469,15.9472399170478,14.6731828618824,14.8807212206398,17.263652735602,16.9435112168491,15.1359050783883,15.8137241930008,15.9576921713804
2010-01-03,12.6158574229729,13.4088497082,14.6244888594835,13.9071206807458,12.7360023926303,15.5838007453474,14.8989717012061,13.7334942224571,13.9186953326185,13.9009402577753,13.8714739343768,17.6736736781359,16.2860678930648,19.558454483571,13.0533015289315,13.1129320115589,13.7846319729432,12.7495275658653,15.1452961179378,12.6317405560144,15.9687620367285,15.1349960817738,13.3836228973634,13.9029238055827,15.5217955999429,13.1854885640632,15.176737780054,14.476891655094,12.7277540657101,12.7728126507219,13.884921243389,13.9533630384985,16.3079371132886
2010-01-04,10.2353858401533,10.3525722115917,12.4859453173855,12.6200280500296,11.1110469810144,13.1321999966541,13.398865660396,12.3152223593041,11.5312739140143,12.2720058327152,11.686399358329,13.8668298612474,13.611842434157,14.6985743143633,11.0918808392161,10.3824468816389,12.3085065514973,10.3268435324002,12.9282579877318,11.1094637676207,13.1957771340328,13.2385415655746,10.3303701910032,10.4171766344619,11.2549803488335,11.1811735712123,13.4850290788342,11.2258557993814,11.3646886293753,11.339661989071,12.3227340971551,12.5263626370215,13.56651418479
2010-01-05,11.2760535932122,10.4790288202907,10.8872784658402,11.7003489521316,12.4795973401438,11.0275253696022,10.3253844677143,11.9963271746796,13.0448968676232,12.8470983951012,12.3463553944246,11.7619421884055,11.142798443324,10.9131824511056,11.7639742126433,11.0166540704053,13.2168857864106,11.2183781990313,12.1079220623797,13.0560576078346,12.4439658829951,11.1573863235224,10.4738028357611,12.466452311968,12.1420333575749,11.5895153179428,10.378353887142,10.4960606766621,13.2238393535559,13.1509190310761,12.1943706586053,11.3708069666937,10.9163390241354
2010-01-06,14.5323717651325,13.1070074757145,15.4934849023197,10.5744179260285,15.6424750968706,15.7023731663787,15.0029571698697,11.809724144714,14.1703585599134,13.6170077631651,12.6408996397833,15.4440018310143,15.2452467232761,14.9532607883587,13.6384215082941,13.7383353203877,15.8850080050339,13.9525465571887,15.7265333639975,15.4866809069263,15.8705939458238,15.3143865353836,12.9438748443655,12.689614869604,18.2723667055502,15.0275897185014,15.1159258592531,14.5291918869997,16.188926924845,16.1329918690198,12.1896166924409,15.3610360411804,15.3183748573134
2010-01-07,22.7226480503926,24.8774457824212,25.6738552841762,24.1668125868468,24.3369738289932,25.2022499815704,23.8334230874302,23.971534982987,21.8784729502568,23.4076555011506,22.361824647457,22.4458340414769,23.0683215290232,21.8048595521833,23.2727374618039,24.5897229798399,23.7348984000747,23.1316789172037,23.4587593118933,24.1655927750301,22.9718827810104,23.5321304086246,24.877391178065,19.7428379198215,33.7633217904044,24.1239797402315,23.993163495204,27.038157813013,24.4075521552269,24.2630356886591,23.6046682918614,24.0394800972118,23.7947583968967
2010-01-08,26.7684957066213,27.0364659948755,27.3968142810748,23.4037149297902,27.6102539511432,27.7967509680817,26.4993092173113,24.1554886913391,25.2959148823525,24.8042789501681,24.6113872951233,28.2856429403833,27.5117054053153,28.9591990853062,25.780569630442,27.1889246973056,26.2410967434149,26.6237537024059,27.3912928828943,27.1663066671166,27.4479864663765,27.0248466888479,27.0898022323747,25.119166357582,30.9463678223829,27.1799242187354,26.7163079638772,27.7672588614093,27.6385539527457,27.5282297851162,24.1724432702474,26.9988010104972,27.7317978987985
2010-01-09,28.7027648481008,29.2700697901136,29.9115345442138,22.0834318326926,30.5289123944888,29.4230421478581,28.3662394541177,23.6195851613065,26.6210949589024,25.1827479733361,25.0282730322598,27.0609670530424,27.7775220593093,26.1576733483606,26.8035413962622,29.557206148628,28.0053208381676,28.3189632625684,28.4916122589363,29.6148643913458,27.672725324803,28.387085194426,29.1996016103875,26.8469979629801,35.3715400638256,29.7873769836656,28.4173982263944,30.4388753326222,30.5884692353442,30.3757177083274,23.7824751366723,29.3514016999664,28.2873981486063
2010-01-10,19.1463218480169,19.5747950626786,19.8823841881408,19.1807213892506,20.8434947311635,19.9399240959879,18.7610315199133,19.5047584050864,20.5303475035989,20.2340566938341,19.8701908529643,20.1320518179902,19.5425102442205,19.6032696477692,19.4682817845881,19.8486909910488,20.8108465944376,19.2079395532322,20.2937469561014,21.0617120756368,20.4575871160619,19.4841923486341,19.5222347948052,20.2442410773924,23.3684585407375,20.082903699045,18.8852648890805,20.1632929122939,21.3818897642023,21.2511514362486,19.6203109573885,19.7501960798338,19.579602997738
